,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank
280,2010-06-23,SVN,ENG,Away,25,8
281,2010-06-23,USA,ALG,Home,14,30
282,2010-06-23,GHA,GER,Away,32,6
283,2010-06-23,AUS,SRB,Home,20,15
284,2010-06-24,SVK,ITA,Home,34,5
285,2010-06-24,PAR,NZL,tie,31,78
286,2010-06-24,DEN,JPN,Away,36,45
287,2010-06-24,CMR,NED,Away,19,4
288,2010-06-25,POR,BRA,tie,3,1
289,2010-06-25,PRK,CIV,Away,105,27
290,2010-06-25,CHI,ESP,Away,18,2
291,2010-06-25,SUI,HON,tie,24,38
292,2010-06-26,URU,KOR,Home,16,47
293,2010-06-26,USA,GHA,Away,14,32
294,2010-06-27,GER,ENG,Home,6,8
295,2010-06-27,ARG,MEX,Home,7,17
296,2010-06-28,NED,SVK,Home,4,34
297,2010-06-28,BRA,CHI,Home,1,18
298,2010-06-29,PAR,JPN,tie,31,45
299,2010-06-29,ESP,POR,Home,2,3
300,2010-07-02,NED,BRA,Home,4,1
301,2010-07-02,URU,GHA,tie,16,32
302,2010-07-03,ARG,GER,Away,7,6
303,2010-07-03,PAR,ESP,Away,31,2
304,2010-07-06,URU,NED,Away,16,4
305,2010-07-07,GER,ESP,Away,6,2
306,2010-07-10,URU,GER,Away,16,6
307,2010-07-11,NED,ESP,Away,4,2
308,2014-06-12,BRA,CRO,Home,3,18
309,2014-06-13,MEX,CMR,Home,20,56
310,2014-06-13,ESP,NED,Away,1,15
311,2014-06-13,CHI,AUS,Home,14,62
312,2014-06-14,COL,GRE,Home,8,12
313,2014-06-14,URU,CRC,Away,7,28
314,2014-06-14,ENG,ITA,Away,10,9
315,2014-06-14,CIV,JPN,Home,23,46
316,2014-06-15,SUI,ECU,Home,6,26
317,2014-06-15,FRA,HON,Home,17,33
318,2014-06-15,ARG,BIH,Home,5,21
319,2014-06-16,GER,POR,Home,2,4
320,2014-06-16,IRN,NGA,tie,43,44
321,2014-06-16,GHA,USA,Away,37,13
322,2014-06-17,BEL,ALG,Home,11,22
323,2014-06-17,BRA,MEX,tie,3,20
324,2014-06-17,RUS,KOR,tie,19,57
325,2014-06-18,AUS,NED,Away,62,15
326,2014-06-18,ESP,CHI,Away,1,14
327,2014-06-18,CMR,CRO,Away,56,18
328,2014-06-19,COL,CIV,Home,8,23
329,2014-06-19,URU,ENG,Home,7,10
330,2014-06-19,JPN,GRE,tie,46,12
331,2014-06-20,ITA,CRC,Away,9,28
332,2014-06-20,SUI,FRA,Away,6,17
333,2014-06-20,HON,ECU,Away,33,26
334,2014-06-21,ARG,IRN,Home,5,43
335,2014-06-21,GER,GHA,tie,2,37
336,2014-06-21,NGA,BIH,Home,44,21
337,2014-06-22,BEL,RUS,Home,11,19
338,2014-06-22,KOR,ALG,Away,57,22
339,2014-06-22,USA,POR,tie,13,4
340,2014-06-23,AUS,ESP,Away,62,1
341,2014-06-23,NED,CHI,Home,15,14
342,2014-06-23,CMR,BRA,Away,56,3
343,2014-06-23,CRO,MEX,Away,18,20
344,2014-06-24,ITA,URU,Away,9,7
345,2014-06-24,CRC,ENG,tie,28,10
346,2014-06-24,JPN,COL,Away,46,8
347,2014-06-24,GRE,CIV,Home,12,23
348,2014-06-25,NGA,ARG,Away,44,5
349,2014-06-25,BIH,IRN,Home,21,43
